disbiome_disease	meddra_id	mondo_id	mondo_label	mesh_ids	match_method	confidence	status	meddra_corroborates	ambiguous	n_experiments
Hepatitis C	10019744	MONDO:0100371	acute hepatitis C virus infection		token_subset_narrower	0.75	review			28
Recurrent tonsillitis	10044008	MONDO:0001039	tonsillitis	D014069	token_subset_broader	0.75	review			27
Protracted bacterial bronchitis	10061736	MONDO:0003781	bronchitis	D001991	token_subset_broader	0.75	review			27
Cholestasis	10008635	MONDO:0001751	cholestasis	D002779	mondo_label	1.0	confirmed			27
Spinal cord injury	10041552	MONDO:0043797	spinal cord injury	D013119	mondo_label	1.0	confirmed			26
Appendicitis	10003011	MONDO:0005649	appendicitis	D001064	mondo_label	1.0	confirmed			26
Systemic sclerosis	10042953	MONDO:0005100	systemic sclerosis	D012595	mondo_label	1.0	confirmed	yes		25
Microscopic colitis	10056979	MONDO:0000702	microscopic colitis	D046728	mondo_label	1.0	confirmed			25
Mucosa-associated lymphoid tissue lymphoma	10025310	MONDO:0007650	MALT lymphoma		mondo_exact_synonym	0.95	confirmed			25
Aphthous ulcer	10002959	MONDO:0005318	canker sore	D013281	mondo_exact_synonym	0.95	confirmed			24
Heart failure	10019285	MONDO:0005252	heart failure	D006333	mondo_label	1.0	confirmed			24
Polycystic Ovary Syndrome	10036049	MONDO:0008487	polycystic ovary syndrome	D011085	mondo_label	1.0	confirmed			24
Macular degeneration	10025409	MONDO:0003004	macular degeneration	D008268	mondo_label	1.0	confirmed			24
Amyotrophic lateral sclerosis	10002026	MONDO:0004976	amyotrophic lateral sclerosis	D000690	mondo_label	1.0	confirmed	yes		24
Atherosclerosis	10003210	MONDO:0005311	atherosclerosis	D050197	mondo_label	1.0	confirmed			23
Attention Deficit Hyperactivity Disorder	10003736	MONDO:0007743	attention deficit-hyperactivity disorder		mondo_label	1.0	confirmed			23
Influenza A	10022000	MONDO:0005460	swine influenza		token_subset_narrower	0.75	review			23
Hypopharyngeal cancer		MONDO:0005806	hypopharynx cancer	D007012	mondo_exact_synonym	0.95	confirmed			23
Acquired Immunodeficiency Syndrome	10000565	MONDO:0012268	AIDS	D000163	token_subset_narrower	0.75	review			22
Opisthorchis felineus infection	10030897	MONDO:0005550	infectious disease	D003141	token_subset_broader	0.75	review			22
COPD Exacerbation	10010953	MONDO:0005002	chronic obstructive pulmonary disease	D029424	token_subset_broader	0.75	review			22
Multiple system atrophy	10003694	MONDO:0007803	multiple system atrophy	D019578	mondo_label	1.0	confirmed			22
Overactive bladder	10003629	MONDO:0006624	overactive bladder	D053201	mondo_label	1.0	confirmed			22
Oropharyngeal cancer	10031096	MONDO:0004608	oropharynx cancer	D009959	mondo_exact_synonym	0.95	confirmed			22
Cervical cancer	10062663	MONDO:0002974	cervical cancer		mondo_label	1.0	confirmed			21
Constipation	10010774	MONDO:0002203	constipation disorder	D003248	mondo_exact_synonym	0.95	confirmed			21
Pulmonary arterial hypertension	10037400	MONDO:0015924	pulmonary arterial hypertension	D000081029	mondo_label	1.0	confirmed			21
Bipolar disorder	10057667	MONDO:0004985	bipolar disorder	D001714	mondo_label	1.0	confirmed			20
